plot_id_fe,wavelength,reflectance_smoothed,reflectance_raw
100,410.75,0.00706796437710073,0.007064620968197
100,413.37,0.00722303655297294,0.00724541945059852
100,416,0.0073659912425912,0.00735334891483541
100,418.62,0.00755129198929477,0.00753506755074276
100,421.24,0.00775960079570461,0.00775964929066412
100,423.86,0.00792748510079173,0.00794755723225366
100,426.49,0.00807822208433839,0.00814800921258444
100,429.12,0.00823462884591889,0.00813745625194658
100,431.74,0.00846245940953369,0.00845626905351895
100,434.37,0.00873596190825803,0.00874055077662499
100,437,0.00906736329096391,0.00910284152062869
100,439.63,0.00932849626508245,0.00930385784049333
100,442.26,0.00951018902273056,0.00955562132999654
100,444.89,0.00968207037525239,0.00966623594176094
100,447.52,0.00982406681607959,0.00974359123429654
100,450.16,0.00991508834476668,0.01002706961884269
100,452.79,0.01000006876831258,0.00996127421726777
100,455.43,0.01003211794551018,0.01000126991341626
100,458.06,0.00999665678374937,0.01004654985336146
100,460.7,0.00999521569984842,0.00996773197965801
100,463.34,0.00995275518415534,0.00993928964444216
100,465.98,0.00988550706210041,0.00992881011034175
100,468.62,0.00984469782811014,0.00982866139217476
100,471.26,0.00982495425725451,0.00978475754680389
100,473.9,0.0098233406078614,0.00983904878032403
100,476.54,0.00986067752535749,0.0098714663063834
100,479.18,0.00987222144020725,0.00984888721078326
100,481.83,0.00978375769240564,0.00984777870224658
100,484.47,0.0096670724072567,0.00969696901081106
100,487.12,0.00959739705650639,0.00948978428135394
100,489.77,0.009586996352628,0.00957816545366878
100,492.42,0.00965871189834864,0.00971693290273953
100,495.07,0.00976651163960534,0.00976515948155705
100,497.72,0.00981785154921716,0.00982568297383267
100,500.37,0.00989332837035503,0.009898996904574
100,503.02,0.01002759022446393,0.00998349285532045
100,505.67,0.01024337502157183,0.01026739148344851
100,508.32,0.01054753887650932,0.01052596230950939
100,510.98,0.01089252483892091,0.01091400124427391
100,513.63,0.0112511016070226,0.0113026122094942
100,516.29,0.0117099499821998,0.01166604875575023
100,518.95,0.0122988966794317,0.01222988460677757
100,521.61,0.01300847966736705,0.01302910475054675
100,524.27,0.01381975515501757,0.0138628829635648
100,526.93,0.01462101677903243,0.01458588302389413
100,529.59,0.01534385680875941,0.01536641829055907
100,532.25,0.01598237162897028,0.0159860301583697
100,534.91,0.01650451309206976,0.01651063592275758
100,537.57,0.01688864890124194,0.01691888065071129
100,540.24,0.01718681138401304,0.01716162863839928
100,542.91,0.01742094502781963,0.01741075805970538
100,545.57,0.01762559486949485,0.01763082653447324
100,548.24,0.01784030425736162,0.0178192603609871
100,550.91,0.01801747991476039,0.01799167153027024
100,553.58,0.01808101362557811,0.01814027160533085
100,556.25,0.01803605905378106,0.01807662661454334
100,558.92,0.01789473642892597,0.01781632881373512
100,561.59,0.0176776455432903,0.01766775921213866
100,564.26,0.01738967835528295,0.01742926009602468
100,566.94,0.01701570555696873,0.01705820184615931
100,569.61,0.01653732144548952,0.01652061685293967
100,572.29,0.01604737829298979,0.01601746266597811
100,574.96,0.01561187293686162,0.01559993296371896
100,577.64,0.01528220045681611,0.01528330772153793
100,580.32,0.01502222785831406,0.01500830096002766
100,583,0.01478835965841952,0.01481258557180914
100,585.68,0.014553178321713,0.01457762950379458
100,588.36,0.01434136199884834,0.01433222176313255
100,591.04,0.01417790458288254,0.01414742574268046
100,593.73,0.01410893864193968,0.01409803522264384
100,596.41,0.01411426960480467,0.0141112711541332
100,599.1,0.01413904095865231,0.01415952835152661
100,601.78,0.01412977359123729,0.01413535389752194
100,604.47,0.01405319677478447,0.01405425660869949
100,607.16,0.01390375221853231,0.01391930632379384
100,609.85,0.01369919495814344,0.0137003018082603
100,612.53,0.01347551681517006,0.01347378674470573
100,615.23,0.01327024633060817,0.0132460317013834
100,617.92,0.01310374178934922,0.01310386704150599
100,620.61,0.01297157053235295,0.0129848310153657
100,623.3,0.01286147939389406,0.01286487875373641
100,626,0.01277635875095254,0.01277453044675431
100,628.69,0.01273850431664212,0.01270871182730194
100,631.39,0.01273466384476849,0.01273246299037829
100,634.08,0.01272807639394847,0.01275193538886341
100,636.78,0.01268305170554352,0.01268756658074628
100,639.48,0.01255665734668118,0.01255985853226534
100,642.18,0.01235655629489399,0.01237538553053333
100,644.88,0.0121317422172662,0.01212288284185668
100,647.58,0.01191154260986131,0.01188322341231696
100,650.29,0.0117181389206676,0.0117224819835772
100,652.99,0.01154685873150967,0.01155856768677165
100,655.69,0.01139772116258601,0.01139725030955932
100,658.4,0.01123736401044834,0.0112184157693669
100,661.1,0.01107091150211119,0.01110174303292793
100,663.81,0.01089910625032876,0.01089836835716094
100,666.52,0.0107412930312711,0.01073203519285995
100,669.23,0.01060187636612222,0.01059724278952099
100,671.94,0.01052321014800106,0.01053124582774742
100,674.65,0.01050137220712771,0.01049644730835518
100,677.36,0.01055473752413314,0.01055097144620852
100,680.07,0.01066631652775202,0.01067286573817508
100,682.79,0.01083257146991826,0.01089293682495414
100,685.5,0.01113560993498734,0.01115062638745392
100,688.22,0.01170344671691579,0.01162979607167073
100,690.93,0.01266062703646878,0.0126284587985484
100,693.65,0.01407974670096604,0.01407250208747293
100,696.37,0.01591976185147356,0.01593064391170416
100,699.09,0.01809816769826925,0.01809888501321116
100,701.81,0.02054753998820341,0.02053612031663836
100,704.53,0.02321373058865596,0.02323098815365383
100,707.25,0.02607242521319124,0.02604240596258125
100,709.97,0.02901858183085717,0.02900394345664862
100,712.7,0.03189487110112843,0.03202346498764512
100,715.42,0.03478566624477484,0.03483324390464778
