plot_id_fe,wavelength_bin,reflectance_smoothed,reflectance_raw
100,964.41,0.06209314806598684,0.06203483045403481
100,978.85,0.06301036669463081,0.06278678598292715
100,992.7,0.06428145243259178,0.06416636202243525
100,1013.5,0.0654589064582223,0.06520706392735241
100,1027.38,0.06631343755797053,0.06612773087785737
100,1041.27,0.06723635424911258,0.06705554495832056
100,1062.12,0.06776347427365635,0.06754942028353125
100,1076.03,0.0679023673039279,0.06768881502040275
100,1089.94,0.06746405546793145,0.06727588311293502
100,1110.84,0.06571800621252924,0.06573184206083779
100,1124.78,0.06377938043086147,0.06321501971110337
100,1138.73,0.06092529306711633,0.06095552094433607
100,1159.67,0.05882538111239814,0.05827160051048527
100,1173.64,0.0584184363020043,0.05847172767016218
100,1187.63,0.05847690452382105,0.05827803664910356
100,1208.62,0.05860523073525972,0.05833790215869501
100,1222.62,0.0592234508610415,0.05903377062756113
100,1236.63,0.06017215002958487,0.05999745305810759
100,1257.67,0.06053131339226023,0.0604300768282864
100,1271.71,0.06058838142094033,0.06018049560761306
100,1285.75,0.0604371068056023,0.06034332987588836
100,1306.83,0.05907497876232938,0.05887495931421109
100,1320.9,0.05667838209985656,0.05651242495402329
100,1334.98,0.05272760895547401,0.05257267159994296
100,1356.11,0.04879910862603658,0.04826836266987933
100,1370.21,0.0458486097965908,0.04578975230547712
100,1384.31,0.03948401037125786,0.039572849417559
100,1405.49,0.03122774099662216,0.03063493886464251
100,1419.62,0.02692361841417759,0.0266868390770002
100,1433.76,0.02503621788921236,0.0248987286928732
100,1454.99,0.02458192156945334,0.0244292223826196
100,1469.15,0.02488234395838341,0.02465826366825073
100,1483.32,0.02616807092867432,0.02596715290221982
100,1504.59,0.02814410192523143,0.02796549001210345
100,1518.79,0.02990415247510963,0.02970970672170562
100,1532.99,0.03210520497323144,0.03190923092661106
100,1554.31,0.03419840217515706,0.03401217083470848
100,1568.53,0.03568034746453285,0.03550252537267236
100,1582.77,0.03734195618807337,0.03714465938782545
100,1604.13,0.03884602265237127,0.03863731600254772
100,1618.39,0.03991315540433635,0.03972433410858961
100,1632.66,0.04113587209754525,0.0409120797611373
100,1654.07,0.04222080358529505,0.04207155420378213
100,1668.36,0.04276764436707257,0.0425816440470359
100,413.37,0.00714550046503683,0.00715502020939776
100,418.62,0.00745864161594299,0.00744420823278908
100,423.86,0.00784354294824817,0.00785360326145889
100,429.12,0.00815642546512865,0.00814273273226551
100,434.37,0.00859921065889586,0.00859840991507197
100,439.63,0.00919792977802318,0.00920334968056101
100,444.89,0.00959612969899148,0.00961092863587874
100,450.16,0.00986957758042313,0.00988533042656961
100,455.43,0.01001609335691138,0.00998127206534201
100,460.7,0.00999593624179889,0.01000714091650973
100,465.98,0.00991913112312787,0.00993404987739196
100,471.26,0.00983482604268232,0.00980670946948933
100,476.54,0.00984200906660945,0.00985525754335372
100,481.83,0.00982798956630644,0.00984833295651492
100,487.12,0.00963223473188155,0.0095933766460825
100,492.42,0.00962285412548832,0.00964754917820415
100,497.72,0.00979218159441125,0.00979542122769486
100,503.02,0.00996045929740948,0.00994124487994722
100,508.32,0.01039545694904058,0.01039667689647895
100,513.63,0.01107181322297175,0.01110830672688405
100,518.95,0.01200442333081575,0.0119479666812639
100,524.27,0.01341411741119231,0.01344599385705577
100,529.59,0.01498243679389592,0.0149761506572266
100,534.91,0.01624344236052002,0.01624833304056364
100,540.24,0.01703773014262749,0.01704025464455528
100,545.57,0.01752326994865724,0.01752079229708931
100,550.91,0.017928892086061,0.01790546594562867
100,556.25,0.01805853633967959,0.01810844910993709
100,561.59,0.01778619098610814,0.01774204401293689
100,566.94,0.01720269195612584,0.01724373097109199
100,572.29,0.01629234986923965,0.01626903975945889
100,577.64,0.01544703669683887,0.01544162034262844
100,583,0.01490529375836679,0.0149104432659184
100,588.36,0.01444727016028067,0.01445492563346356
100,593.73,0.01414342161241111,0.01412273048266215
100,599.1,0.01412665528172849,0.0141353997528299
100,604.47,0.01409148518301088,0.01409480525311071
100,609.85,0.01380147358833788,0.01380980406602707
100,615.23,0.01337288157288912,0.01335990922304456
100,620.61,0.01303765616085109,0.01304434902843584
100,626,0.0128189190724233,0.01281970460024536
100,631.39,0.01273658408070531,0.01272058740884011
100,636.78,0.012705564049746,0.01271975098480484
100,642.18,0.01245660682078759,0.01246762203139933
100,647.58,0.01202164241356376,0.01200305312708682
100,652.99,0.01163249882608863,0.01164052483517442
100,658.4,0.01131754258651717,0.01130783303946311
100,663.81,0.01098500887621998,0.01100005569504443
100,669.23,0.01067158469869666,0.01066463899119047
100,674.65,0.01051229117756439,0.0105138465680513
100,680.07,0.01061052702594258,0.0106119185921918
100,685.5,0.0109840907024528,0.01102178160620403
100,690.93,0.01218203687669229,0.01212912743510956
100,696.37,0.0149997542762198,0.01500157299958854
100,701.81,0.01932285384323633,0.01931750266492476
100,707.25,0.0246430779009236,0.02463669705811753
100,712.7,0.0304567264659928,0.03051370422214687
100,718.15,0.03629412279092267,0.03620488870020545
100,723.6,0.04249521885678875,0.04258388640020072
100,729.06,0.04876540902489923,0.04867573141398694
100,734.52,0.0545598509912646,0.05462988026607929
100,739.98,0.05929004972929043,0.05927195631724918
100,745.45,0.06253467727162834,0.06255614372991745
100,750.93,0.06477469853849319,0.06461139140300322
100,756.4,0.06506237934158324,0.06558723545480777
100,761.88,0.06277334620302161,0.06220539785780996
100,767.36,0.0636670803279527,0.06374834676523145
100,772.85,0.06702820123135103,0.06720904859913171
100,778.34,0.06811115984826442,0.06803158028997884
