plot_id_fe,wavelength_bin,reflectance_smoothed,reflectance_raw
100,967.22,0.06246003551744443,0.06233561266559175
100,999.63,0.06475243404284399,0.06458264278440212
100,1034.32,0.06686718757265576,0.06668441932613528
100,1069.07,0.06783292078879213,0.067619117651967
100,1096.91,0.06676563576577056,0.06665826669209612
100,1131.75,0.06206692801261439,0.06185932045104299
100,1166.66,0.05862190870720122,0.05837166409032372
100,1194.62,0.05852823500839652,0.05830198285294014
100,1229.63,0.05979267036216752,0.059611980085889
100,1264.69,0.06055984740660028,0.06030528621794973
100,1292.78,0.05989225558829313,0.05975598165121745
100,1327.94,0.05430791821322703,0.05414857294157509
100,1363.16,0.04732385921131369,0.04702905748767822
100,1391.37,0.03618150262140358,0.0359976851963924
100,1426.69,0.02579117809919845,0.025613972846524
100,1462.07,0.02473213276391838,0.02454374302543516
100,1490.41,0.02695848332729716,0.02676648774617327
100,1525.89,0.03122478397398272,0.03102942124464888
100,1561.42,0.03493937481984495,0.03475734810369042
100,1589.89,0.03794358277379253,0.03774172203371436
100,1625.52,0.04064678542026169,0.04043698150011823
100,1661.21,0.04254890805436156,0.04237760810973439
100,416,0.00730207104048991,0.00729961422109342
100,426.49,0.00799998420668841,0.0079981679968622
100,437,0.00889857021845952,0.00890087979781649
100,447.52,0.0097328536397073,0.00974812953122418
100,458.06,0.01000601479935514,0.00999420649092587
100,468.62,0.0098769785829051,0.00987037967344064
100,479.18,0.00983499931645795,0.00985179524993432
100,489.77,0.00962754442868493,0.00962046291214333
100,500.37,0.00987632044591036,0.00986833305382104
100,510.98,0.01073363508600616,0.0107524918116815
100,521.61,0.01270927037100403,0.01269698026915983
100,532.25,0.01561293957720797,0.01561224184889512
100,542.91,0.01728050004564237,0.01728052347082229
100,553.58,0.0179937142128703,0.01800695752778288
100,564.26,0.01749444147111699,0.01749288749201444
100,574.96,0.01586969328303926,0.01585533005104366
100,585.68,0.01467628195932373,0.01468268444969098
100,596.41,0.0141350384470698,0.01412906511774602
100,607.16,0.01394647938567438,0.01395230465956889
100,617.92,0.0132052688668701,0.0132021291257402
100,628.69,0.0127777515765643,0.01277014600454273
100,639.48,0.01258108543526679,0.01259368650810209
100,650.29,0.0118270706198262,0.01182178898113062
100,661.1,0.01115127573136858,0.01115394436725377
100,671.94,0.01059193793813052,0.01058924277962088
100,682.79,0.01079730886419769,0.01081685009919791
100,693.65,0.01359089557645604,0.01356535021734905
100,704.53,0.02198296587207996,0.02197709986152115
100,715.42,0.03337542462845774,0.03335929646117616
100,726.33,0.04563031394084399,0.04562980890709383
100,737.25,0.05692495036027751,0.05695091829166424
100,748.19,0.06365468790506076,0.06358376756646034
100,759.14,0.06391786277230242,0.06389631665630886
100,770.11,0.06534764077965186,0.06547869768218159
100,781.09,0.06827031297379396,0.0682389077005485
100,792.08,0.06853668407036305,0.0685282240389907
100,803.1,0.06883619969068665,0.06881663687549854
100,814.12,0.06836919123009143,0.06836316252509342
100,825.16,0.06810385477154876,0.06815443137616409
100,836.22,0.06936492692027352,0.06934255198306306
100,847.29,0.07053032635509202,0.07056333390373468
100,858.37,0.07078350987001955,0.07077464147522473
100,869.47,0.0710223788914914,0.07100534874422117
100,880.58,0.07112454345868027,0.07110904526289687
100,891.71,0.07063688119314715,0.0707107538213399
100,902.86,0.0685787840801381,0.0685602430156724
100,914.02,0.06803211670241398,0.0679442071000469
100,925.19,0.06799977454980781,0.0681165811207261
100,936.38,0.06390379247079984,0.06380040012186645
100,947.58,0.06259588070220921,0.0626330953941647
100,958.8,0.06165147891504967,0.0616475487002061
101,967.22,0.16754709264510398,0.16735989980728777
101,999.63,0.1714170978773389,0.17123338638269128
101,1034.32,0.178551942216227,0.1783460371062491
101,1069.07,0.18209013692993703,0.1818244100157193
101,1096.91,0.17929998741013023,0.17914097723696262
101,1131.75,0.165250299005527,0.16516510088140737
101,1166.66,0.14903978478581265,0.14854238477422207
101,1194.62,0.1466195925410412,0.1463493214140575
101,1229.63,0.1495213540829108,0.14931131093854896
101,1264.69,0.1520625282501154,0.15172974881122644
101,1292.78,0.14936411757940593,0.14923821755733138
101,1327.94,0.13264936470713967,0.1324403823124708
101,1363.16,0.11291358714807272,0.11253158361726928
101,1391.37,0.08054966678173205,0.0802737790539195
101,1426.69,0.05265479180130931,0.05250664038960771
101,1462.07,0.04994087840790832,0.04971172822388674
101,1490.41,0.05487658639833565,0.05464711273553894
101,1525.89,0.06489361335954832,0.06465832392754117
101,1561.42,0.0743363248373257,0.07411825297426658
101,1589.89,0.08236165192126059,0.08211673970938715
101,1625.52,0.08952511358690908,0.08925517391031215
101,1661.21,0.09463388023002212,0.09446817053378984
101,416,0.01743323976443602,0.01744441330285355
101,426.49,0.01828818536244546,0.01828646563952511
101,437,0.01977632703230607,0.01977461089592169
101,447.52,0.02117603753800102,0.02120612218680948
101,458.06,0.02155416595667446,0.02153505746385838
101,468.62,0.0210639092735753,0.02105035695551645
101,479.18,0.02061302122826399,0.02064243471710988
101,489.77,0.02007292306954318,0.02005825228620283
101,500.37,0.02061001429723322,0.02059834041070229
101,510.98,0.02259775150860609,0.02263093518443626
101,521.61,0.02736039238576617,0.02732788885731508
101,532.25,0.0343698429866733,0.0343801710791517
101,542.91,0.03835540915936415,0.03835550983353416
101,553.58,0.03978157195735517,0.03980658966863509
101,564.26,0.03808954511784485,0.0380885508095864
101,574.96,0.03343090902573092,0.03339860444464306
101,585.68,0.02989268894643224,0.02990646940646785
101,596.41,0.028282778846071,0.02827283256862423
101,607.16,0.02742281808170548,0.02743354967177504
