id,year,endvi,evi,exgi,gcc,grvi,msavi,msr,ndvi,remsr,psri,rendvi,sipi,sr,vari,mr
196,2020,0.6864867775090339,0.4692867507063548,0.08423440032973645,0.395470794062273,0.06696309747084708,0.4270677921085413,2.8621799710397537,0.7469776400021491,6.1036338145957085,-7.472753132048815e-4,0.46385379275406374,0.8295411107186161,2.7303257450492007,0.04963985988351177,0.18285842208230513
197,2020,0.5658974520096359,0.05644505182093257,0.014686098090407277,0.3705346061116483,-0.029525861930718846,0.04637462988632063,1.4619930148511198,0.5450242820110214,2.7458305843395077,0.059705832444201995,0.2597204459210583,0.68729939192616,1.7016820726440387,-0.022546409412560354,0.024919711692627834
198,2020,0.6690110137555679,0.2672979177630199,0.04729034209215534,0.4004500513882558,0.08138614054349626,0.23274001711240894,2.833204087239333,0.7337748632441827,6.44558446885438,-0.007833826675361581,0.4645117763332697,0.8207361464868421,2.7349093996971483,0.06027649687937531,0.09240336146546918
199,2020,0.6146731692255778,0.07072219830270893,0.014390984537156995,0.39192370069259447,0.05496331911957276,0.05796743886948008,2.256068776801648,0.6676822180503039,4.711713845139332,0.002636614903441271,0.3746507919019223,0.7671841223924669,2.1982130529640433,0.04083824914342717,0.024704121063506636
19,2020,0.6402787073623597,0.2640930687035956,0.046989279742000456,0.38957540003750624,0.08734573394261963,0.22646057336522668,2.8249126998731837,0.7407218153194193,6.943065277457603,-0.009534964398043036,0.4599598475750101,0.8089761568935412,2.703428330318076,0.06258864716171555,0.0901523029025637
1,2020,0.6123731163504127,0.2592686628482171,0.0549808864784408,0.3948314976704928,0.0917939202644171,0.22135662427161568,2.6552684022193835,0.7061957430112286,6.036194156725068,-0.016728555423283584,0.41898902270244304,0.7878370283629903,2.44227575407018,0.06639189015866295,0.08960614005774899
200,2020,0.6813812816319315,0.4540304048667647,0.08316238023144501,0.40172259155348367,0.08943962630741141,0.4099708853517036,3.007839713154943,0.7517171208724879,6.958422328494235,-0.00904140939195562,0.48487670886395007,0.8327517574858714,2.8825656583867745,0.06596036641253944,0.17041540255949628
201,2020,0.6867812639981681,0.39914953977203516,0.06902169089204857,0.39428401839359506,0.05986223442887518,0.3607256498438429,2.807773429686372,0.7421171222568695,5.873458496094309,0.001673762940380259,0.4568449490078304,0.8273166334567535,2.682189821021904,0.044539227031435924,0.15031505377673546
202,2020,0.6272390252948233,0.12598546769008753,0.023891162968318676,0.3936903011264763,0.07662101653745246,0.10474022886710449,2.526594446592993,0.7050446940477144,6.1472502904645125,-0.007683849968697171,0.43218968778241396,0.7892309575242074,2.522303059606279,0.05603634075481942,0.04196476425575522
203,2020,0.6885862438770642,0.4585592070311387,0.08334327284633185,0.40318988929718613,0.08641999741464775,0.416371448051365,3.0130574652088735,0.7517255393622194,6.097155097653412,-0.007321160069867799,0.46043508070392775,0.8348113353647031,2.706690202560319,0.0641440129482012,0.17341109097490806
204,2020,0.6513388245392677,0.27598616752729377,0.05374700762825774,0.3884293375087764,0.03569256760979763,0.24264269748175515,2.374900660336206,0.6909609588321626,4.702926286533533,0.009694967826267581,0.39765390373956133,0.7927965855743389,2.3203502312319335,0.026772501462778195,0.1056756747631992
205,2020,0.6641162308768157,0.25973085561342657,0.04593916456039833,0.39641845102762857,0.07263281890321537,0.22560474687747606,2.734704847367976,0.729177237425016,5.879709719836436,-0.004185470534133112,0.44104315478664374,0.8144417593156091,2.578093760058688,0.053686572060743384,0.09025824251176591
206,2020,0.68559567908931,0.25778786064926457,0.04092279115422609,0.40204286647544923,0.09420792252621991,0.22364401556953512,3.010604662254165,0.7600275676293688,6.994487070776287,-0.006756837178756857,0.4791686025033142,0.8326722826537927,2.840014272589483,0.06922929808384916,0.08482012540750829
207,2020,0.5913315560220662,0.11600245039438566,0.027704586093549206,0.3784855150856581,-8.5893589714744e-4,0.09730129726004383,1.7506984360237408,0.5984288860474339,3.4006074898918124,0.035533953328862146,0.3080245552787475,0.7247044713351095,1.8902759704221257,-6.507485421977313e-4,0.04724937368734031
208,2020,0.6843532603393282,0.4122480451876562,0.07483248538954926,0.4017225903594861,0.0796228134218953,0.3722535932124366,2.9181041047091503,0.7435506954260244,5.877022213751234,-0.005999556494418144,0.44984676343488744,0.8298572716396228,2.6353507842415342,0.05925455161172891,0.1516823672435587
209,2020,0.6478839116793351,0.3070883644463151,0.06887099930568111,0.3943175906513626,0.03245829436980577,0.27466487700087755,2.2255108255118676,0.6618580870490651,4.253264377454165,0.01364229115729782,0.375738942051933,0.7826370366789692,2.2037878617223985,0.024793013920948168,0.12639917343623697
20,2020,0.6492283307896252,0.4611027754899897,0.0901927723087205,0.39482098869055665,0.09560082547247048,0.4080306563710297,2.9287969196159622,0.7450889914001829,7.362641964067991,-0.012703307233469208,0.47676864050587353,0.8172890079039795,2.8224008628489914,0.06890322014205635,0.16856156905472197
210,2020,0.6673536361813865,0.2985483930202925,0.05520725307824543,0.399548342901175,0.07225894242459328,0.26278312047881075,2.709950147704663,0.7234421677012204,6.110200481637125,-0.003165633984063,0.45301987942363087,0.8152659541217672,2.6564400144790286,0.053850687671122895,0.10600947392528362
211,2020,0.5844219653277477,0.10654502450130386,0.02595156522359618,0.3788010382867548,0.0027068896666452907,0.08894775175773112,1.743847824774815,0.5952930447245047,3.3868109283399477,0.033041427770106255,0.3035573960345937,0.7207729566035654,1.8717370083512925,0.0020452090771886765,0.04323027696718054
212,2020,0.6945343646735207,0.41254257299001207,0.06770487138759253,0.40446772215584803,0.10542950177117826,0.37045443880856876,3.193820286356393,0.7741590729733899,7.217417787052344,-0.008300700733379934,0.487592069327762,0.8418201406368299,2.903140213650013,0.07715160552724491,0.14478985374748246
213,2020,0.7082920521907187,0.4494843347659506,0.07460868601964996,0.4030243928152503,0.07855461378458865,0.41167861277968315,3.090530035574216,0.7625819514710998,6.1506200313378345,-0.002608596773858499,0.4717764824141146,0.845335573082138,2.786275948372204,0.05870713475005064,0.16734885738156227
214,2020,0.6918600074529804,0.42771944395443384,0.07597594023042879,0.4027573803700803,0.08059626493527577,0.3881547455982208,2.9679535044454237,0.7494423151157936,6.509057711872472,-0.004795283528409766,0.4775244566662245,0.835322740036802,2.8279303701730027,0.060079312850278864,0.15768721617478915
