id,id2,.metric,.estimator,.estimate,.config,model,response,VNIR_only,normalization,derivative,dataset
Repeat1,Fold1,accuracy,multiclass,0.5,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,roc_auc,hand_till,0.75,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,accuracy,multiclass,0.5,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,roc_auc,hand_till,0.6666666666666666,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,accuracy,multiclass,0.5,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,roc_auc,hand_till,0.9583333333333333,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,accuracy,multiclass,0.3333333333333333,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,roc_auc,hand_till,0.6666666666666666,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold5,accuracy,multiclass,0.5,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold5,roc_auc,hand_till,0.7083333333333333,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold1,accuracy,multiclass,0.5,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold1,roc_auc,hand_till,0.7962962962962963,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold2,accuracy,multiclass,0.6666666666666666,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold2,roc_auc,hand_till,0.75,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold3,accuracy,multiclass,0.6666666666666666,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold3,roc_auc,hand_till,0.9166666666666666,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold4,accuracy,multiclass,0.6666666666666666,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold4,roc_auc,hand_till,0.8333333333333333,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold5,accuracy,multiclass,0.3333333333333333,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat2,Fold5,roc_auc,hand_till,0.6666666666666666,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat3,Fold1,accuracy,multiclass,0.875,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat3,Fold1,roc_auc,hand_till,0.9722222222222223,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat3,Fold2,accuracy,multiclass,0.3333333333333333,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat3,Fold2,roc_auc,hand_till,0.41666666666666663,Preprocessor1_Model1,SVM,reflectance_raw,TRUE,Pu,None,Full spectrum
