id,id2,.metric,.estimator,.estimate,.config,model,response,VNIR_only,normalization,derivative,dataset
Repeat3,Fold3,roc_auc,binary,0.96,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat3,Fold4,accuracy,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat3,Fold4,roc_auc,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat3,Fold5,accuracy,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat3,Fold5,roc_auc,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat4,Fold1,accuracy,binary,0.95,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat4,Fold1,roc_auc,binary,0.925,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat4,Fold2,accuracy,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat4,Fold2,roc_auc,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat4,Fold3,accuracy,binary,0.9,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat4,Fold3,roc_auc,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat4,Fold4,accuracy,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat4,Fold4,roc_auc,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat4,Fold5,accuracy,binary,0.9444444444444444,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat4,Fold5,roc_auc,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat5,Fold1,accuracy,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat5,Fold1,roc_auc,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat5,Fold2,accuracy,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat5,Fold2,roc_auc,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat5,Fold3,accuracy,binary,0.95,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat5,Fold3,roc_auc,binary,0.965,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat5,Fold4,accuracy,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat5,Fold4,roc_auc,binary,1,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat5,Fold5,accuracy,binary,0.9444444444444444,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat5,Fold5,roc_auc,binary,0.9876543209876543,Preprocessor1_Model1,RF,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,accuracy,binary,1,Preprocessor1_Model1,PLSDA,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold1,roc_auc,binary,1,Preprocessor1_Model1,PLSDA,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,accuracy,binary,0.95,Preprocessor1_Model1,PLSDA,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold2,roc_auc,binary,1,Preprocessor1_Model1,PLSDA,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,accuracy,binary,0.95,Preprocessor1_Model1,PLSDA,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold3,roc_auc,binary,1,Preprocessor1_Model1,PLSDA,reflectance_raw,TRUE,Pu,None,Full spectrum
Repeat1,Fold4,accuracy,binary,1,Preprocessor1_Model1,PLSDA,reflectance_raw,TRUE,Pu,None,Full spectrum
