tray_id,wavelength_bin,reflectance_raw,reflectance_smoothed
12__2,967.22,0.29158608634521405,0.2917324888790359
12__2,999.63,0.2976380981280722,0.2977640616346853
12__2,1034.32,0.3048779037379159,0.30501437900090594
12__2,1069.07,0.30985650092489236,0.30999531777676337
12__2,1096.91,0.3101772237275956,0.3101862189587672
12__2,1131.75,0.30003808070948773,0.30006368851480353
12__2,1166.66,0.28640919274666443,0.28685823118547665
12__2,1194.62,0.28431697273482975,0.28444740092644005
12__2,1229.63,0.28835697619673445,0.28850116385975483
12__2,1264.69,0.2943881615586733,0.29462434643026136
12__2,1292.78,0.29379293197222606,0.293833827239775
12__2,1327.94,0.2757469902219668,0.27579381556660265
12__2,1363.16,0.2475878244592073,0.2482172340140437
12__2,1391.37,0.1933156795062032,0.1932436006516022
12__2,1426.69,0.13781185474027904,0.13792128629654435
12__2,1462.07,0.13139998693518273,0.1315529581932412
12__2,1490.41,0.14452025135490393,0.14462875655108304
12__2,1525.89,0.16781887982054788,0.16797677935464847
12__2,1561.42,0.18846148478232047,0.1885353578931141
12__2,1589.89,0.2044849787213386,0.20464003171187217
12__2,1625.52,0.21700688243551677,0.21723494598559015
12__2,1661.21,0.2259671978209567,0.22613160770764987
12__2,416,0.05034142997439972,0.05022074686932507
12__2,426.49,0.05167461985787429,0.05168228233979856
12__2,437,0.05552234507415254,0.05555332630271389
12__2,447.52,0.05902305680614406,0.05897160664892723
12__2,458.06,0.06090988866084039,0.06097365737763149
12__2,468.62,0.06075182898569915,0.06077347993068167
12__2,479.18,0.06079429290254237,0.06071631975971886
12__2,489.77,0.06058369195798022,0.06055596002635694
12__2,500.37,0.0628175676421257,0.06287371617630987
12__2,510.98,0.06954049699858757,0.06947359800095004
12__2,521.61,0.08343340892037429,0.08344334610720172
12__2,532.25,0.10229525843043784,0.1023304769471348
12__2,542.91,0.11344762149099576,0.11349709303853076
12__2,553.58,0.11892130947651836,0.11879905893214456
12__2,564.26,0.11707313735875706,0.11712359663476092
12__2,574.96,0.1074491718529308,0.1075162694734497
12__2,585.68,0.09960224112817796,0.09949624600126952
12__2,596.41,0.09554396462305792,0.09565107844868176
12__2,607.16,0.09418741172316385,0.09414487003863165
12__2,617.92,0.08881272345074152,0.08882391897657722
12__2,628.69,0.08577840583068504,0.08580392046362155
12__2,639.48,0.08382709878177966,0.08375219168264057
12__2,650.29,0.0773660730049435,0.0774266474664548
12__2,661.1,0.07211711577507063,0.07208294817308986
12__2,671.94,0.06738477390095339,0.06739113797774585
12__2,682.79,0.06857966984463278,0.06850882965408092
12__2,693.65,0.0899635168388065,0.09013837026247648
12__2,704.53,0.14359875695180083,0.1435273187907755
12__2,715.42,0.19857759258033192,0.19861610768512916
12__2,726.33,0.2435420832229873,0.2435256218262376
12__2,737.25,0.2744229067355226,0.2743927213121301
12__2,748.19,0.2895676559189619,0.2896925374283276
12__2,759.14,0.29158484507415255,0.291630823381171
12__2,770.11,0.29540310237906076,0.2951324483580509
12__2,781.09,0.30053982664636303,0.3006213225866795
12__2,792.08,0.3025891623631709,0.3025811802718086
12__2,803.1,0.30315434928937146,0.30325082628169564
12__2,814.12,0.3041862751588983,0.3041775444221651
12__2,825.16,0.305203803628178,0.3050782181373167
12__2,836.22,0.3076493395789195,0.307716455984539
12__2,847.29,0.31069933185469634,0.31060728854019537
12__2,858.37,0.3126721701756709,0.31270118540552705
12__2,869.47,0.31332932777189265,0.3133994821092279
12__2,880.58,0.31364826922228106,0.3136763934078222
12__2,891.71,0.31361576403601693,0.31345354011131293
12__2,902.86,0.30989669127383473,0.30993076061528957
12__2,914.02,0.3081954228460452,0.3083127361930825
12__2,925.19,0.30720273603019066,0.30704223639380723
12__2,936.38,0.2974327523614054,0.2976267563412194
12__2,947.58,0.29398733503266244,0.2939555356669946
12__2,958.8,0.29060848671433614,0.2906125862012796
7__1,967.22,0.35385727258475774,0.35401237400965296
7__1,999.63,0.3673884787831138,0.3669868202722898
7__1,1034.32,0.3742730868980333,0.37406485042531046
7__1,1069.07,0.3912918936016622,0.39065317756120177
7__1,1096.91,0.4072486885865413,0.4067507627782465
7__1,1131.75,0.4094850954665816,0.4088751762407081
7__1,1166.66,0.38184059965634976,0.3823617510292218
7__1,1194.62,0.35686223760367836,0.3558217642314304
7__1,1229.63,0.3688415092770655,0.36882200295125395
7__1,1264.69,0.4196075792430433,0.4191796940253009
7__1,1292.78,0.4409498604615413,0.4406619832099905
7__1,1327.94,0.44079975335468646,0.4402119653179363
7__1,1363.16,0.4106369863750997,0.41011631126994086
7__1,1391.37,0.3409342669635574,0.3408772889213742
7__1,1426.69,0.30929757971557353,0.3089766515987674
7__1,1462.07,0.3238054197798377,0.3235348409365214
7__1,1490.41,0.3537531461218235,0.35322055309482675
7__1,1525.89,0.37522192762383966,0.3751445431620093
7__1,1561.42,0.3972155524033256,0.3964131677914856
7__1,1589.89,0.41752724516416223,0.41720353505112656
7__1,1625.52,0.4265853348819042,0.42650725935311823
7__1,1661.21,0.42509749466013,0.4247459379921875
7__1,416,0.16442585348636468,0.16402025870807418
7__1,426.49,0.17962555045938672,0.18008207862381848
7__1,437,0.20300567284058987,0.2035092210437985
7__1,447.52,0.2234639942869265,0.22280154458677495
7__1,458.06,0.22938280427054072,0.2295727948358358
7__1,468.62,0.22999052697799627,0.23036922361626655
7__1,479.18,0.23327316684222849,0.23275879842405425
7__1,489.77,0.23316046896945225,0.23306324487491925
7__1,500.37,0.23393712418802667,0.23421117824434023
7__1,510.98,0.2355175232619382,0.23522598160467667
7__1,521.61,0.23828913656513345,0.2383836664914532
7__1,532.25,0.24713123335820456,0.24714644044100847
7__1,542.91,0.25146918707572563,0.25147786828441293
7__1,553.58,0.2533066424537687,0.2532684396927808
7__1,564.26,0.2537248590019312,0.25351184010186767
7__1,574.96,0.24714026290379215,0.24739924050363943
7__1,585.68,0.2440839331694757,0.24412954353235916
7__1,596.41,0.24262949054160815,0.242847228318118
7__1,607.16,0.24445848786429072,0.244181745082528
7__1,617.92,0.2429742134465707,0.24301414700653204
7__1,628.69,0.24143861920646065,0.24154930325653204
7__1,639.48,0.24075065927112593,0.24071308787076984
7__1,650.29,0.23912762702627577,0.2388375658008405
7__1,661.1,0.23522594894809223,0.23553829829238287
7__1,671.94,0.2376886146345389,0.23756834043418104
7__1,682.79,0.23587859078739465,0.23579895226356287
7__1,693.65,0.2424773598431648,0.24270010496261651
7__1,704.53,0.2652260998215122,0.2651761080335546
7__1,715.42,0.28937201910697563,0.28942208165086614
7__1,726.33,0.3113071855980805,0.311220117701297
7__1,737.25,0.329376220703125,0.32945524419461725
7__1,748.19,0.33728758851240637,0.3373788255664655
7__1,759.14,0.33332076054833804,0.3334388848568893
7__1,770.11,0.33659231350216523,0.3362364655874493
7__1,781.09,0.34398956870318353,0.3440719775939256
7__1,792.08,0.346466064453125,0.34650162747354035
7__1,803.1,0.34702166725187267,0.347013519434064
7__1,814.12,0.34736890471383425,0.34748131956287903
7__1,825.16,0.3492191614729635,0.349070987663997
7__1,836.22,0.3521003866017088,0.35222419859871035
7__1,847.29,0.35787666692269426,0.357655168196214
7__1,858.37,0.3607602923103933,0.3607900968864255
7__1,869.47,0.3615799235940426,0.36171813170200207
7__1,880.58,0.3616278144750702,0.36164832825283966
7__1,891.71,0.3601893735735604,0.35994383415819514
7__1,902.86,0.35404859678575606,0.3542294380646541
7__1,914.02,0.3489715919066011,0.3489059031870737
7__1,925.19,0.3350879226284527,0.33481955626058946
7__1,936.38,0.32030792807818353,0.32088593873659604
7__1,947.58,0.33699167087283477,0.3367433175484467
7__1,958.8,0.346643340721559,0.34659650573676043
5__2,967.22,0.35004607071263155,0.35013256268916354
5__2,999.63,0.3660752034367099,0.3658100963665473
5__2,1034.32,0.38152653526870106,0.3814006340994955
5__2,1069.07,0.3993951615325068,0.39907342741529894
5__2,1096.91,0.4130366635060106,0.4126695723276747
5__2,1131.75,0.41171915728887537,0.41126151478335815
5__2,1166.66,0.3919280742199266,0.392397730797908
5__2,1194.62,0.3838515238824804,0.3833653280433693
5__2,1229.63,0.39717965713102094,0.3971219686995963
5__2,1264.69,0.4268947290906413,0.42676329139669816
5__2,1292.78,0.4369078062620453,0.43659519599001234
5__2,1327.94,0.4170878573447714,0.41670096639602067
5__2,1363.16,0.37426049905469705,0.3744200977058272
5__2,1391.37,0.29447393367902935,0.29424925620240583
5__2,1426.69,0.2323623631116333,0.2321316344473107
5__2,1462.07,0.23219892374034673,0.23202562582802488
5__2,1490.41,0.2532548729840041,0.2529688314177358
5__2,1525.89,0.27983423397118945,0.2797416911677227
5__2,1561.42,0.30523261826001646,0.30475596947988676
5__2,1589.89,0.32705103488959164,0.3269058056627243
5__2,1625.52,0.3429260384477856,0.3429029954267775
5__2,1661.21,0.3496640609200446,0.3494938642271966
5__2,416,0.09820560045338068,0.09805535208702036
5__2,426.49,0.1021259629890439,0.10234744254642898
5__2,437,0.11060469156749722,0.11062681652791176
5__2,447.52,0.11774989617894954,0.11756478084862863
5__2,458.06,0.12011726126878312,0.1203044929255121
5__2,468.62,0.11974355996253544,0.11982722511163828
5__2,479.18,0.1205404671030268,0.12032314805096672
5__2,489.77,0.1202404437875517,0.12016001311586268
5__2,500.37,0.1210025717840624,0.12112090339735632
5__2,510.98,0.12396966005710476,0.12386947205165943
5__2,521.61,0.13053634149871293,0.13046883090246764
5__2,532.25,0.1412991388618126,0.14139864484378323
5__2,542.91,0.14735792223163235,0.14736787777476984
5__2,553.58,0.15008512009648683,0.14997696641354108
5__2,564.26,0.14884206503020117,0.1488583025391628
5__2,574.96,0.1422770518979959,0.14239334095366488
5__2,585.68,0.1380091929976583,0.13801966762443085
5__2,596.41,0.1363413545800745,0.13640517079242664
5__2,607.16,0.13699773218872024,0.13688965821929472
5__2,617.92,0.13444985488658945,0.13447398889792894
5__2,628.69,0.13336939189282437,0.13342778569429412
5__2,639.48,0.13275753658205303,0.13271959078470463
5__2,650.29,0.13028603266853966,0.1302331690938661
5__2,661.1,0.12735825180785726,0.12742791088613403
5__2,671.94,0.1269614324998838,0.12691985906182696
5__2,682.79,0.12743359810803273,0.12739288827814751
5__2,693.65,0.13833521129740087,0.13845151845749648
