tray_id,wavelength_bin,reflectance_raw,reflectance_smoothed
12__2,964.41,0.29105727327565917,0.291081376179827
12__2,978.85,0.29237930594954636,0.29270915792784924
12__2,992.7,0.29624614796018073,0.2962764783404142
12__2,1013.5,0.2997260233799094,0.29999543657609185
12__2,1027.38,0.30284603189600806,0.30292020455333385
12__2,1041.27,0.3062324849658544,0.3064104952992873
12__2,1062.12,0.30913764349990136,0.30923615511389313
12__2,1076.03,0.31057535834988337,0.3107544804396336
12__2,1089.94,0.31096374500465096,0.31113217114177777
12__2,1110.84,0.3089974418120125,0.3087672906842514
12__2,1124.78,0.3041959673241625,0.30507361184055637
12__2,1138.73,0.2972661562997046,0.29672373963096826
12__2,1159.67,0.2870740187703724,0.28825358304863946
12__2,1173.64,0.28574436672295644,0.28546287932231384
12__2,1187.63,0.2846840009799422,0.28467897400769043
12__2,1208.62,0.2837664303671611,0.28410004130456445
12__2,1222.62,0.2855243704294692,0.28584637393875056
12__2,1236.63,0.29024538004157796,0.290271023807091
12__2,1257.67,0.29385860513819556,0.2938476864096799
12__2,1271.71,0.2949177179791511,0.29540100645084283
12__2,1285.75,0.2954591307156782,0.29544471920265447
12__2,1306.83,0.29129363385704776,0.2914174892954559
12__2,1320.9,0.28384773916656886,0.28389496007618487
12__2,1334.98,0.27034649092556545,0.2703930525602145
12__2,1356.11,0.25386092248766656,0.25499266291431216
12__2,1370.21,0.241314726430748,0.2414418051137752
12__2,1384.31,0.21156708745651465,0.21009538323070728
12__2,1405.49,0.16593856758073605,0.1679659267829446
12__2,1419.62,0.14408448585174055,0.14460556524208
12__2,1433.76,0.1336301006659714,0.13346510033285391
12__2,1454.99,0.13062474891754852,0.13058630124727685
12__2,1469.15,0.13217522495281694,0.13251961513920557
12__2,1483.32,0.14006600861046625,0.14019024504401684
12__2,1504.59,0.15120161547156047,0.1512865238116823
12__2,1518.79,0.16075203019902037,0.16085898005905755
12__2,1532.99,0.1725301129015662,0.17272197888504243
12__2,1554.31,0.1842193856216532,0.18431131132195497
12__2,1568.53,0.19270358394298776,0.19275940446427323
12__2,1582.77,0.20150913703601733,0.2016707670724383
12__2,1604.13,0.20894874124932053,0.20909392867102292
12__2,1618.39,0.21387504665381807,0.21398505069973983
12__2,1632.66,0.21909477295664925,0.21940154284282365
12__2,1654.07,0.22449450655461625,0.22434872045661788
12__2,1668.36,0.226948991998517,0.22732019920833785
12__2,413.37,0.05049974620409604,0.05025659002345642
12__2,418.62,0.05018311374470339,0.05018490371519371
12__2,423.86,0.05086906890007062,0.05104667427528921
12__2,429.12,0.05248017081567796,0.05231789040430791
12__2,434.37,0.05405839512711864,0.05426743835334276
12__2,439.63,0.05698629502118644,0.05683921425208502
12__2,444.89,0.0585103835628531,0.05835542671341136
12__2,450.16,0.05953573004943502,0.05958778658444311
12__2,455.43,0.06089469676906779,0.06086994378657183
12__2,460.7,0.060925080552613,0.06107737096869115
12__2,465.98,0.06101785950741525,0.06092224282015066
12__2,471.26,0.06048579846398305,0.06062471704121268
12__2,476.54,0.06068391375353108,0.06053181171391579
12__2,481.83,0.06090467205155367,0.06090082780552192
12__2,487.12,0.06023140669138418,0.06036799617887409
12__2,492.42,0.06093597722457627,0.0607439238738398
12__2,497.72,0.06188991326800847,0.06205121133684759
12__2,503.02,0.06374522201624294,0.06369622101577213
12__2,508.32,0.06692497020656779,0.06699777836629003
12__2,513.63,0.07215602379060734,0.07194941763561005
12__2,518.95,0.0783513693944209,0.07867914102434759
12__2,524.27,0.0885154484463277,0.08820755119005583
12__2,529.59,0.09825059586864406,0.09831248843993812
12__2,534.91,0.10633992099223163,0.10634846545433146
12__2,540.24,0.1117808086158192,0.11183906055580778
12__2,545.57,0.11511443436617232,0.1151551255212537
12__2,550.91,0.11795534847281074,0.11796051818502826
12__2,556.25,0.119887270480226,0.11963759967926084
12__2,561.59,0.118530698269774,0.11875387787530269
12__2,566.94,0.11561557644774012,0.11549331539421914
12__2,572.29,0.11014313537252823,0.11014556876555354
12__2,577.64,0.10475520833333334,0.10488697018134584
12__2,583,0.10114082362288136,0.10110550237927092
12__2,588.36,0.09806365863347458,0.09788698962326813
12__2,593.73,0.09558157331391244,0.09577286028509216
12__2,599.1,0.0955063559322034,0.09552929661227132
12__2,604.47,0.09524740686793784,0.09517009054681196
12__2,609.85,0.09312741657838984,0.09311964953045132
12__2,615.23,0.09005084194032485,0.09008978463604722
12__2,620.61,0.0875746049611582,0.08755805331710723
12__2,626,0.08603529969985876,0.08604589265746908
12__2,631.39,0.08552151196151131,0.08556194826977404
12__2,636.78,0.08495243533721751,0.08490787707870931
12__2,642.18,0.0827017622263418,0.08259650628657184
12__2,647.58,0.07880771649894068,0.0789861565631726
12__2,652.99,0.07592442951094633,0.07586713836973703
12__2,658.4,0.07343047647422317,0.0734592915048258
12__2,663.81,0.07080375507591807,0.07070660484135391
12__2,669.23,0.06799826204978814,0.0680963652012712
12__2,674.65,0.06677128575211864,0.06668591075422048
12__2,680.07,0.06706136343573446,0.06699775472070893
12__2,685.5,0.07009797625353108,0.07001990458745294
12__2,690.93,0.0795328996733757,0.07983030118164852
12__2,696.37,0.1003941340042373,0.10044643934330444
12__2,701.81,0.1287386674611582,0.12868340011896356
12__2,707.25,0.1584588464424435,0.15837123746258744
12__2,712.7,0.1862873300670904,0.18619132322773743
12__2,718.15,0.21086785509357345,0.2110408921425209
12__2,723.6,0.2339680603372175,0.23378861533578832
12__2,729.06,0.25311610610875707,0.2532626283166869
12__2,734.52,0.26876137115995763,0.268666178516781
12__2,739.98,0.28008444231108753,0.2801192641074792
12__2,745.45,0.2874602864583333,0.2873930825640637
12__2,750.93,0.29167502537959045,0.29199199229259154
12__2,756.4,0.2940794381179379,0.2931890514128498
12__2,761.88,0.2890902520303672,0.29007259534949226
12__2,767.36,0.2923351154219633,0.29216450572328156
12__2,772.85,0.2984710893361582,0.2981003909928202
12__2,778.34,0.2997321349752825,0.29997842866180724
12__2,783.84,0.3013475183174435,0.3012642165115517
12__2,789.33,0.30250510902189265,0.30248572384903827
12__2,794.84,0.30267321570444916,0.30267663669457895
12__2,800.34,0.3027008022157486,0.30274825443065645
12__2,805.85,0.30360789636299435,0.3037533981327348
12__2,811.36,0.304757089733404,0.30445807848651474
12__2,816.88,0.30361546058439265,0.30389701035781547
12__2,822.4,0.30451737950211866,0.3043744001904258
12__2,827.92,0.3058902277542373,0.30578203608420773
12__2,833.45,0.3066813206214689,0.3069437947164212
12__2,838.98,0.30861735853637007,0.3084891172526567
12__2,844.52,0.31002384026306495,0.3100236240373621
12__2,850.06,0.3113748234463277,0.31119095304302863
12__2,855.6,0.31193880208333336,0.31220688228283905
12__2,861.14,0.3134055382680085,0.31319548852821505
12__2,866.69,0.3132876776571328,0.31338631756330715
12__2,872.25,0.3133709778866526,0.3134126466551487
12__2,877.8,0.31360664393538135,0.3135885458703256
