tray_id,wavelength,reflectance_raw,reflectance_smoothed
12__2,410.75,0.05075113656426554,0.05025580682926419
12__2,413.37,0.05024835584392655,0.05025737321764865
12__2,416,0.0502315832450565,0.05024153856016276
12__2,418.62,0.05013464424435028,0.05012826887022465
12__2,421.24,0.05049255164194915,0.05075903156107076
12__2,423.86,0.05124558615819209,0.05133431698950767
12__2,426.49,0.05278661281779661,0.05200406809086629
12__2,429.12,0.05217372881355932,0.05263171271774953
12__2,431.74,0.05341769288488701,0.05372126588983051
12__2,434.37,0.05469909736935028,0.054813610816855
12__2,437,0.05701245806850282,0.05625949816720473
12__2,439.63,0.05696013197387006,0.05741893033696529
12__2,442.26,0.05810855843926554,0.05807667894135056
12__2,444.89,0.05891220868644067,0.05863417448547215
12__2,447.52,0.05882400909251412,0.05924786821949826
12__2,450.16,0.06024745100635593,0.05992770494938795
12__2,452.79,0.06013051730225988,0.06064204741306833
12__2,455.43,0.06165887623587571,0.06109784016007533
12__2,458.06,0.06123682468220339,0.06106457030199086
12__2,460.7,0.0606133364230226,0.06109017163539144
12__2,463.34,0.06084794314971751,0.06098380960788269
12__2,465.98,0.06118777586511299,0.06086067603241862
12__2,468.62,0.0610936396539548,0.06070744215765403
12__2,471.26,0.0598779572740113,0.06054199192477132
12__2,473.9,0.06044498146186441,0.06044215765402207
12__2,476.54,0.06092284604519774,0.06062146577380951
12__2,479.18,0.06081578831214689,0.06101737529845977
12__2,481.83,0.06099355579096045,0.06078428031258407
12__2,484.47,0.06070050979872881,0.06038891358538471
12__2,487.12,0.05976230358403955,0.06034707877236347
12__2,489.77,0.06037413930084746,0.06052758125672587
12__2,492.42,0.06149781514830509,0.06096026649095372
12__2,495.07,0.06166895082980226,0.06175914978897633
12__2,497.72,0.06211087570621469,0.06234327288471886
12__2,500.37,0.06339808439265537,0.06310938025457359
12__2,503.02,0.06409235963983051,0.06428306177697068
12__2,505.67,0.0659959282309322,0.06595503713932609
12__2,508.32,0.0678540121822034,0.06804051959325398
12__2,510.98,0.07081152895480226,0.07059959203490719
12__2,513.63,0.07350051862641242,0.0732992432363129
12__2,516.29,0.07647719147245763,0.07658848439181463
12__2,518.95,0.08022554731638418,0.08076979765688055
12__2,521.61,0.08559933350988701,0.08553236659688594
12__2,524.27,0.09143156338276837,0.09088273578322573
12__2,526.93,0.09552270921610168,0.09601381427394404
12__2,529.59,0.10097848252118644,0.1006111626059322
12__2,532.25,0.10443672757768362,0.10461718171996906
12__2,534.91,0.10824311440677968,0.10807974918869384
12__2,537.57,0.11079847501765536,0.11078889014998657
12__2,540.24,0.11276314221398304,0.112889230961629
12__2,542.91,0.114808869615113,0.11442471352064838
12__2,545.57,0.11541999911723164,0.11588553752185904
12__2,548.24,0.11721404925847458,0.11727183643142992
12__2,550.91,0.1186966476871469,0.1186491999386266
12__2,553.58,0.11963181938559322,0.11955289201220744
12__2,556.25,0.12014272157485877,0.11972230734631426
12__2,558.92,0.11869448490466102,0.11927793121132636
12__2,561.59,0.118366911634887,0.118229824539279
12__2,564.26,0.1167755009710452,0.11653919123705277
12__2,566.94,0.11445565192443503,0.11444743955138552
12__2,569.61,0.11154673155014123,0.11160537574404762
12__2,572.29,0.10873953919491526,0.10868576178705944
12__2,574.96,0.10582855534957628,0.10601030842245092
12__2,577.64,0.1036818613170904,0.1037636319402408
12__2,580.32,0.10194451800847458,0.10186937497898171
12__2,583,0.10033712923728812,0.10034162977956013
12__2,585.68,0.09875587040960453,0.09861491174418216
12__2,588.36,0.09737144685734464,0.09715906750235406
12__2,591.04,0.09544541181144069,0.09605134769303204
12__2,593.73,0.09571773481638418,0.09549437287715228
12__2,596.41,0.0953714799611582,0.09543013203692496
12__2,599.1,0.0956412319032486,0.09562846118761772
12__2,601.78,0.09553497969632768,0.0954380716976056
12__2,604.47,0.09495983403954802,0.09490210939601831
12__2,607.16,0.09393578963629944,0.09384216469515068
12__2,609.85,0.09231904352048025,0.09239713436575196
12__2,612.53,0.09086851165254237,0.09083585868139628
12__2,615.23,0.08923317222810734,0.08934371059069815
12__2,617.92,0.0881141750529661,0.08807082692275357
12__2,620.61,0.08703503486935028,0.08704527971146087
12__2,623.3,0.08625052966101696,0.08628274860438528
12__2,626,0.08582006973870057,0.08580903671055287
12__2,628.69,0.08545265051200565,0.08562129394925345
12__2,631.39,0.08559037341101695,0.0855026025902946
12__2,634.08,0.08530883651129943,0.0852107809137073
12__2,636.78,0.08459603416313559,0.08460497324371133
